010011105,ANTIOQUIA,MEDELLIN,CASD JOSE MARIA ESPINOSA PRIETO,4,000005
010011106,ANTIOQUIA,MEDELLIN,I.E. EL TRIUNFO SANTA TERESA,4,000007
010011107,ANTIOQUIA,MEDELLIN,IE SANTA JUANA DE LESTONACC,4,000019
010011108,ANTIOQUIA,MEDELLIN,IE JESUS MARIA VALLE JARAMILLO,4,000008
010011201,ANTIOQUIA,MEDELLIN,I.E.MAESTRO FERNANDO BOTERO,4,000029
010011202,ANTIOQUIA,MEDELLIN,I.E.ALFREDO COCK ARANGO,4,000027
010011203,ANTIOQUIA,MEDELLIN,SEC.ESC.SAN MARTIN DE PORRES,4,000018
010011204,ANTIOQUIA,MEDELLIN,I.E. KENNEDY,4,000030
010011205,ANTIOQUIA,MEDELLIN,SEC.CONCENTRACION EDUC.KENNEDY,4,000019
010011206,ANTIOQUIA,MEDELLIN,I.E.JORGE ELIECER GAITAN(PPAL),4,000007
010011207,ANTIOQUIA,MEDELLIN,SEC. ESC. PEDREGAL,4,000011
010011208,ANTIOQUIA,MEDELLIN,I.E.LA ESPERANZA,4,000007
010011301,ANTIOQUIA,MEDELLIN,I.E. SAN VICENTE DE PAUL,4,000027
010011302,ANTIOQUIA,MEDELLIN,SEC.ESC. EL DIAMANTE,4,000026
010011303,ANTIOQUIA,MEDELLIN,I.E.EL DIAMANTE (SEDE BTO),4,000019
010011304,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA VILLA DE LA C,4,000033
010011305,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA SAN JOSE,4,000012
010011306,ANTIOQUIA,MEDELLIN,TECNOLOGICO DE ANTIOQUIA,4,000022
010011307,ANTIOQUIA,MEDELLIN,IE JESUS REY,4,000010
010011308,ANTIOQUIA,MEDELLIN,IE AURES,4,000007
010011401,ANTIOQUIA,MEDELLIN,I.E.MON. GERARDO VALENCIA CAN,4,000012
010011402,ANTIOQUIA,MEDELLIN,I.E. JORGE ROBLEDO,4,000033
010011403,ANTIOQUIA,MEDELLIN,I.E.MARISCAL ROBLEDO,4,000019
010011404,ANTIOQUIA,MEDELLIN,SEC.ESC. SANTA MARGARITA,4,000019
010011405,ANTIOQUIA,MEDELLIN,COLEGIO FERRINI,4,000027
010011406,ANTIOQUIA,MEDELLIN,I.E.CAMILO MORA CARRASQUILLA,4,000008
010011407,ANTIOQUIA,MEDELLIN,COL MAYOR DE ANTIOQUIA,4,000010
010011408,ANTIOQUIA,MEDELLIN,IE BARRIO OLAYA HERRERA,4,000004
010011501,ANTIOQUIA,MEDELLIN,I.E. JUAN DE DIOS CARVAJAL,4,000027
010011502,ANTIOQUIA,MEDELLIN,I.E. JUAN DE LA CRUZ POSADA,4,000015
010011503,ANTIOQUIA,MEDELLIN,I.E.JOSE CELESTINO MUTIS,4,000009
010011504,ANTIOQUIA,MEDELLIN,INST.METROPOLITANO (I.T.M),4,000005
010011505,ANTIOQUIA,MEDELLIN,SEC.ESC.JULIA AGUDELO,4,000055
010011506,ANTIOQUIA,MEDELLIN,SEC.ESC.NI�O JESUS DE PRAGA,4,000008
010011507,ANTIOQUIA,MEDELLIN,I.E.SOL DE ORIENTE,4,000009
010011508,ANTIOQUIA,MEDELLIN,IE LUIS CARLOS GALAN SARMIENTO PPAL,4,000007
010011509,ANTIOQUIA,MEDELLIN,IE ESC NORMAL SUPERIOR DE MEDELLIN,4,000003
010011601,ANTIOQUIA,MEDELLIN,I.E. VILLA TURBAY,4,000011
010011602,ANTIOQUIA,MEDELLIN,SEC.ESCUELA LAS ESTANCIAS,4,000008
010011603,ANTIOQUIA,MEDELLIN,SEC.ESC.SOR MARIA LUISA COURB,4,000022
010011604,ANTIOQUIA,MEDELLIN,I.E. SAN FRANCISCO DE ASIS,4,000019
010011605,ANTIOQUIA,MEDELLIN,IE FELIX HENAO BOTERO,4,000018
010011606,ANTIOQUIA,MEDELLIN,IE GABRIEL GARCIA MARQUEZ,4,000001
010011701,ANTIOQUIA,MEDELLIN,I.E.GUADALUPANO LA SALLE,4,000033
